source	label
I am very happy	1
I am very sad	0
I am very tired	3
I am very worried	2
I am very confused	4
I am very happy	1
I am very sad	0
I am very tired	3
I am very worried	2
I am very confused	4
I am very happy	1
I am very sad	0
I am very tired	3
I am very worried	2
I am very confused	4
I am very happy	1
I am very sad	0
I am very tired	3
I am very worried	2
I am very confused	4
I am very happy	1
I am very sad	0
I am very tired	3
I am very worried	2
I am very confused	4
I am very happy	1
I am very sad	0
I am very tired	3
I am very worried	2
I am very confused	4
I am very happy	1
I am very sad	0
I am very tired	3
I am very worried	2
I am very confused	4
I am very happy	1
I am very sad	0
I am very tired	3
I am very worried	2
I am very confused	4
I am very happy	1
I am very sad	0
I am very tired	3
I am very worried	2
I am very confused	4
I am very happy	1
I am very sad	0
I am very tired	3
I am very worried	2
I am very confused	4
I am very happy	1
I am very sad	0
I am very tired	3
I am very worried	2
I am very confused	4
I am very happy	1
I am very sad	0
I am very tired	3
I am very worried	2
I am very confused	4
I am very happy	1
I am very sad	0
I am very tired	3
I am very worried	2
I am very confused	4
I am very happy	1
I am very sad	0
I am very tired	3
I am very worried	2
I am very confused	4
I am very happy	1
I am very sad	0
I am very tired	3
I am very worried	2
I am very confused	4
I am very happy	1
I am very sad	0
I am very tired	3
I am very worried	2
I am very confused	4
I am very happy	1
I am very sad	0
I am very tired	3
I am very worried	2
I am very confused	4
I am very happy	1
I am very sad	0
I am very tired	3
I am very worried	2
I am very confused	4
I am very happy	1
I am very sad	0
I am very tired	3
I am very worried	2
I am very confused	4
I am very happy	1
I am very sad	0
I am very tired	3
I am very worried	2
I am very confused	4
I am very happy	1
I am very sad	0
I am very tired	3
I am very worried	2
I am very confused	4
I am very happy	1
I am very sad	0
I am very tired	3
I am very worried	2
I am very confused	4
I am very happy	1
I am very sad	0
I am very tired	3
I am very worried	2
I am very confused	4
I am very happy	1
I am very sad	0
I am very tired	3
I am very worried	2
I am very confused	4
I am very happy	1
I am very sad	0
I am very tired	3
I am very worried	2
I am very confused	4
I am very happy	1
I am very sad	0
I am very tired	3
I am very worried	2
I am very confused	4
I am very happy	1
I am very sad	0
I am very tired	3
I am very worried	2
I am very confused	4
I am very happy	1
I am very sad	0
I am very tired	3
I am very worried	2
I am very confused	4
I am very happy	1
I am very sad	0
I am very tired	3
I am very worried	2
I am very confused	4
I am very happy	1
I am very sad	0
I am very tired	3
I am very worried	2
I am very confused	4